,Latitude,Longitude,name,description,State,Active
342,39.970279,-75.18013,"AV: Philadelphia, PA, USA",https://www.facebook.com/groups/2040975016132438/,Pennsylvania,Y
343,40.446686,-79.986391,Justice for Animals,https://www.facebook.com/justiceforanimalsPA/events/?ref=page_internal,Pennsylvania,Y
344,40.037876,-76.305514,"AV: Lancaster, PA, USA",https://www.facebook.com/groups/123640941718523/,Pennsylvania,N
345,40.440625,-79.995886,"AV: Pittsburgh, PA, USA",https://www.facebook.com/groups/117470885738481,Pennsylvania,Y
346,39.934486,-75.16468,Peace Advocacy Network,https://www.facebook.com/peaceadvocacynetwork https://www.instagram.com/peaceadvocacy/ https://twitter.com/peaceadvocacy,Pennsylvania,Y
347,40.273191,-76.886701,"AV: Harrisburg, PA, USA",https://web.facebook.com/groups/571703913195966/,Pennsylvania,Y
348,39.945016,-75.137901,Revolution Philadelphia,https://www.instagram.com/revolution_philadelphia/?hl=en,Pennsylvania,Y
349,18.356224,-66.109864,"AV: Guaynabo, Puerto Rico",https://www.facebook.com/groups/317531189077387/?_rdc=1&_rdr,Puerto Rico,N
350,18.371143,-66.036415,SOS University of Puerto Rico - RÃ­o Piedras Campus,https://sos.peta.org/join-a-hub/,Puerto Rico,N
351,41.80894,-71.414223,Providence Animal Save,https://www.facebook.com/providenceanimalsave/events/?ref=page_internal,Rhode Island,N
352,41.814186,-71.388474,Empathy for All Animals,https://www.efaanimals.org/,Rhode Island,N
353,41.831456,-71.395683,Allied Scholars â€” Brown,https://www.alliedscholars.org/brown,Rhode Island,N
354,41.825828,-71.422119,"AV: Providence, RI, USA",https://www.facebook.com/groups/788900527933822/,Rhode Island,Y
355,34.949567,-81.932048,"AV: Spartanburg, SC, USA",https://www.facebook.com/groups/237712427065109/,South Carolina,Y
356,34.863109,-82.390348,Greenville SC Animal Save,https://www.facebook.com/gscas1/events/?ref=page_internal,South Carolina,N
357,33.994482,-81.030179,Columbia SC Animal Save,https://www.facebook.com/columbiascanimalsave/,South Carolina,N
358,34.00071,-81.034814,"AV: Columbia, SC, USA",https://www.facebook.com/groups/1368917886542208/,South Carolina,N
359,34.855858,-82.403966,"AV: Greenville, SC, USA",https://www.facebook.com/groups/152072125435918/,South Carolina,N
360,33.495598,-81.968994,"AV: Augusta, GA, USA",https://www.facebook.com/groups/2142326102667128/,South Carolina,N
361,43.513002,-96.771599,Huron Turkey Save,https://www.facebook.com/Huron-Turkey-Save-229646020528355/events/?ref=page_internal,South Dakota,N
362,43.547303,-96.728333,"AV: Sioux Falls, SD, USA",https://www.facebook.com/groups/542473742834918/,South Dakota,Y
363,35.964663,-83.899333,Knoxville Animal Save,https://www.facebook.com/knoxSAVE/events/?ref=page_internal,Tennessee,N
364,36.145937,-86.793142,Nashville Animal Save,https://www.facebook.com/nashvilleanimalsave/,Tennessee,N
365,36.529771,-87.359453,"AV: Clarksville, TN, USA",https://www.facebook.com/groups/337064663683686/,Tennessee,N
366,35.04563,-85.30968,"AV: Chattanooga, TN, USA",https://www.facebook.com/groups/448681042215700,Tennessee,Y
367,35.933819,-83.9328,SOS University of Tennessee-Knoxville,https://sos.peta.org/join-a-hub/,Tennessee,N
368,36.162664,-86.781602,"AV: Nashville, TN, USA",https://www.facebook.com/groups/119886602056402/,Tennessee,Y
369,29.739168,-95.385155,Animal Rising Houston,https://www.facebook.com/groups/3229399773768195/,Texas,Y
370,29.367814,-98.551483,SOS San Antonio,https://sos.peta.org/join-a-hub/,Texas,N
371,32.751064,-97.244689,DFW Animal Save,https://www.facebook.com/dfwanimalsave/events/?ref=page_internal,Texas,N
372,27.767994,-97.423832,Corpus Christi Animal Save,https://www.facebook.com/CorpusChristiAnimalSave/,Texas,N
